Entity,Code,Year,Share of the population who are religious
Mali,MLI,2020,97.47469
Malta,MLT,2010,97.45842
Malta,MLT,2020,94.75504
Martinique,MTQ,2010,97.59451
Martinique,MTQ,2020,97.265396
Mauritania,MRT,2010,99.89768
Mauritania,MRT,2020,99.89349
Mauritius,MUS,2010,99.2674
Mauritius,MUS,2020,99.246666
Mayotte,MYT,2010,99.78551
Mayotte,MYT,2020,99.8204
Mexico,MEX,2010,95.17122
Mexico,MEX,2020,89.36565
Micronesia (country),FSM,2010,99.29935
Micronesia (country),FSM,2020,99.31533
Middle East-North Africa (Pew),PEW_MENA,2010,99.6298
Middle East-North Africa (Pew),PEW_MENA,2020,99.5773
Moldova,MDA,2010,98.69378
Moldova,MDA,2020,99.76614
Mongolia,MNG,2010,62.554348
Mongolia,MNG,2020,59.17213
Montenegro,MNE,2010,98.730484
Montenegro,MNE,2020,98.85657
Morocco,MAR,2010,99.86946
Morocco,MAR,2020,99.86922
Mozambique,MOZ,2010,81.05218
Mozambique,MOZ,2020,85.71246
Myanmar,MMR,2010,99.93565
Myanmar,MMR,2020,99.94135
Namibia,NAM,2010,99.7759
Namibia,NAM,2020,94.36866
Nepal,NPL,2010,99.99812
Nepal,NPL,2020,99.99871
Netherlands,NLD,2010,54.45836
Netherlands,NLD,2020,45.88376
New Caledonia,NCL,2010,90.00911
New Caledonia,NCL,2020,89.47603
New Zealand,NZL,2010,55.81929
New Zealand,NZL,2020,48.645187
Nicaragua,NIC,2010,87.52334
Nicaragua,NIC,2020,86.69583
Niger,NER,2010,99.78734
Niger,NER,2020,98.77578
Nigeria,NGA,2010,99.57613
Nigeria,NGA,2020,99.62069
North America,OWID_NAM,2010,86.17967
North America,OWID_NAM,2020,76.67813
North America (Pew),PEW_NAM,2010,82.81225
North America (Pew),PEW_NAM,2020,69.77472
North Korea,PRK,2010,27.147554
North Korea,PRK,2020,27.132458
North Macedonia,MKD,2010,98.56697
North Macedonia,MKD,2020,99.484344
Norway,NOR,2010,85.322014
Norway,NOR,2020,77.54846
Oceania,OWID_OCE,2010,79.230125
Oceania,OWID_OCE,2020,68.684135
Oman,OMN,2010,99.9239
Oman,OMN,2020,99.859726
Pakistan,PAK,2010,99.98624
Pakistan,PAK,2020,99.98727
Palestine,PSE,2010,100
Palestine,PSE,2020,100
Panama,PAN,2010,93.981766
Panama,PAN,2020,93.78956
Papua New Guinea,PNG,2010,99.62834
Papua New Guinea,PNG,2020,99.68948
Paraguay,PRY,2010,99.50799
Paraguay,PRY,2020,95.75232
Peru,PER,2010,97.18858
Peru,PER,2020,94.893295
Philippines,PHL,2010,99.924194
Philippines,PHL,2020,99.95886
Poland,POL,2010,97.349045
Poland,POL,2020,91.354416
Portugal,PRT,2010,92.7721
Portugal,PRT,2020,86.21906
Puerto Rico,PRI,2010,89.681725
Puerto Rico,PRI,2020,89.62008
Qatar,QAT,2010,99.69968
Qatar,QAT,2020,99.72638
Reunion,REU,2010,97.939476
Reunion,REU,2020,97.912895
Romania,ROU,2010,99.79016
Romania,ROU,2020,99.0604
Russia,RUS,2010,86.96957
Russia,RUS,2020,79.80176
Rwanda,RWA,2010,99.10367
Rwanda,RWA,2020,98.992065
Saint Lucia,LCA,2010,93.9735
Saint Lucia,LCA,2020,94.098724
Saint Vincent and the Grenadines,VCT,2010,92.12687
Saint Vincent and the Grenadines,VCT,2020,92.13609
Samoa,WSM,2010,99.85518
Samoa,WSM,2020,99.93578
Sao Tome and Principe,STP,2010,87.54924
Sao Tome and Principe,STP,2020,90.30676
Saudi Arabia,SAU,2010,99.914116
Saudi Arabia,SAU,2020,99.8879
Senegal,SEN,2010,99.99642
